t                        b_rel
0.000000000000000000e+00 9.164991131439303196e-08
2.400000000000000000e+02 9.164989910069793137e-08
4.800000000000000000e+02 9.164986964110126947e-08
7.200000000000000000e+02 9.164981439200777812e-08
9.600000000000000000e+02 9.164971954974675292e-08
1.200000000000000000e+03 9.164956322584703486e-08
1.440000000000000000e+03 9.164931096870898051e-08
1.680000000000000000e+03 9.164890871558705197e-08
1.920000000000000000e+03 9.164827173310769565e-08
2.160000000000000000e+03 9.164726728376490712e-08
2.400000000000000000e+03 9.164568747185336336e-08
2.640000000000000000e+03 9.164320671195729297e-08
2.880000000000000000e+03 9.163931511370584383e-08
3.120000000000000000e+03 9.163321414037958372e-08
3.360000000000000000e+03 9.162365315758747450e-08
3.600000000000000000e+03 9.160867333705046522e-08
3.840000000000000000e+03 9.158520628111473914e-08
4.080000000000000000e+03 9.154844464973004520e-08
4.320000000000000000e+03 9.149085452908308478e-08
4.560000000000000000e+03 9.140062376048531233e-08
4.800000000000000000e+03 9.125921952032561331e-08
5.040000000000000000e+03 9.103753238327346916e-08
5.280000000000000000e+03 9.068976007607119822e-08
5.520000000000000000e+03 9.014363265435389420e-08
5.760000000000000000e+03 8.928459967910412226e-08
6.000000000000000000e+03 8.792973591727924125e-08
6.240000000000000000e+03 8.578323033799388144e-08
6.480000000000000000e+03 8.235606307513252715e-08
6.720000000000000000e+03 7.680620700237227738e-08
6.960000000000000000e+03 6.756117343229059428e-08
7.200000000000000000e+03 5.110029321633912838e-08
7.440000000000000000e+03 4.403564664444702280e-08
7.680000000000000000e+03 4.106387808317554884e-08
7.920000000000000000e+03 3.983950373134123848e-08
8.160000000000000000e+03 3.934055898011603696e-08
8.400000000000000000e+03 3.913791403604453599e-08
8.640000000000000000e+03 3.905491920040677636e-08
8.880000000000000000e+03 3.901881246871395299e-08
9.120000000000000000e+03 3.899786135210768682e-08
9.360000000000000000e+03 3.897363059366586792e-08
9.600000000000000000e+03 3.892477978493884638e-08
9.840000000000000000e+03 3.880822297418000131e-08
1.008000000000000000e+04 3.852080876236079056e-08
1.032000000000000000e+04 3.780600129669750781e-08
1.056000000000000000e+04 3.601141047402356827e-08
1.080000000000000000e+04 3.139256276666938077e-08
1.104000000000000000e+04 2.983445551851057391e-08
