t x1 x2 w1 w2 w3
0.000000 0.5 0.5 0.999997 1.08883e-06 1.86737e-06 
0.000119 0.499972 0.500083 0.999997 1.08883e-06 1.86737e-06 
0.000238 0.499885 0.500346 0.999997 1.08883e-06 1.86737e-06 
0.000357 0.499821 0.500536 0.999997 1.08883e-06 1.86737e-06 
0.000476 0.499794 0.500619 0.999997 1.08883e-06 1.86737e-06 
0.000595 0.499706 0.500882 0.999997 1.08883e-06 1.86737e-06 
0.000714 0.499643 0.501072 0.999997 1.08883e-06 1.86737e-06 
0.000833 0.499615 0.501155 0.999997 1.08883e-06 1.86737e-06 
0.000952 0.499528 0.501418 0.999997 1.08883e-06 1.86737e-06 
0.001071 0.499465 0.501609 0.999997 1.08883e-06 1.86737e-06 
0.001190 0.499437 0.501692 0.999997 1.08883e-06 1.86737e-06 
0.001310 0.49935 0.501955 0.999997 1.08883e-06 1.86737e-06 
0.001429 0.499286 0.502145 0.999997 1.08883e-06 1.86737e-06 
0.001548 0.499259 0.502229 0.999997 1.08883e-06 1.86737e-06 
0.001667 0.499171 0.502492 0.999997 1.08883e-06 1.86737e-06 
0.001786 0.499108 0.502683 0.999997 1.08883e-06 1.86737e-06 
0.001905 0.49908 0.502766 0.999997 1.08883e-06 1.86737e-06 
0.002024 0.498993 0.503029 0.999997 1.08883e-06 1.86737e-06 
0.002143 0.49893 0.50322 0.999997 1.08883e-06 1.86737e-06 
0.002262 0.498902 0.503303 0.999997 1.08883e-06 1.86737e-06 
0.002381 0.498815 0.503567 0.999997 1.08883e-06 1.86737e-06 
0.002500 0.498752 0.503758 0.999997 1.08883e-06 1.86737e-06 
0.002619 0.498724 0.503841 0.999997 1.08883e-06 1.86737e-06 
0.002738 0.498637 0.504105 0.999997 1.08883e-06 1.86737e-06 
0.002857 0.498573 0.504296 0.999997 1.08883e-06 1.86737e-06 
0.002976 0.498546 0.504379 0.999997 1.08883e-06 1.86737e-06 
0.003095 0.498459 0.504643 0.999997 1.08883e-06 1.86737e-06 
0.003214 0.498395 0.504834 0.999997 1.08883e-06 1.86737e-06 
0.003333 0.498368 0.504918 0.999997 1.08883e-06 1.86737e-06 
0.003452 0.498281 0.505182 0.999997 1.08883e-06 1.86737e-06 
0.003571 0.498217 0.505373 0.999997 1.08883e-06 1.86737e-06 
0.003690 0.49819 0.505457 0.999997 1.08883e-06 1.86737e-06 
0.003810 0.498103 0.505721 0.999997 1.08883e-06 1.86737e-06 
0.003929 0.49804 0.505912 0.999997 1.08883e-06 1.86737e-06 
0.004048 0.498012 0.505996 0.999997 1.08883e-06 1.86737e-06 
0.004167 0.497925 0.50626 0.999997 1.08883e-06 1.86737e-06 
0.004286 0.497862 0.506452 0.999997 1.08883e-06 1.86737e-06 
0.004405 0.497834 0.506535 0.999997 1.08883e-06 1.86737e-06 
0.004524 0.497747 0.5068 0.999997 1.08883e-06 1.86737e-06 
0.004643 0.497684 0.506991 0.999997 1.08883e-06 1.86737e-06 
0.004762 0.497656 0.507075 0.999997 1.14983e-06 2.19146e-06 
0.004881 0.497569 0.50734 0.999997 1.14983e-06 2.19146e-06 
0.005000 0.497506 0.507531 0.999997 1.14983e-06 2.19146e-06 
0.005119 0.497479 0.507615 0.999997 1.14983e-06 2.19146e-06 
0.005238 0.497392 0.50788 0.999997 1.14983e-06 2.19146e-06 
0.005357 0.497329 0.508072 0.999997 1.14983e-06 2.19146e-06 
0.005476 0.497301 0.508156 0.999997 1.14983e-06 2.19146e-06 
0.005595 0.497214 0.50842 0.999997 1.14983e-06 2.19146e-06 
0.005714 0.497151 0.508612 0.999997 1.14983e-06 2.19146e-06 
0.005833 0.497123 0.508696 0.999997 1.14983e-06 2.19146e-06 
0.005952 0.497037 0.508961 0.999997 1.14983e-06 2.19146e-06 
0.006071 0.496973 0.509153 0.999997 1.14983e-06 2.19146e-06 
0.006190 0.496946 0.509237 0.999997 1.14983e-06 2.19146e-06 
0.006310 0.496859 0.509503 0.999997 1.14983e-06 2.19146e-06 
0.006429 0.496796 0.509695 0.999997 1.14983e-06 2.19146e-06 
0.006548 0.496769 0.509779 0.999997 1.14983e-06 2.19146e-06 
0.006667 0.496682 0.510044 0.999997 1.14983e-06 2.19146e-06 
0.006786 0.496619 0.510236 0.999997 1.14983e-06 2.19146e-06 
0.006905 0.496591 0.51032 0.999997 1.14983e-06 2.19146e-06 
0.007024 0.496504 0.510586 0.999997 1.14983e-06 2.19146e-06 
0.007143 0.496441 0.510778 0.999997 1.14983e-06 2.19146e-06 
0.007262 0.496414 0.510862 0.999997 1.14983e-06 2.19146e-06 
0.007381 0.496327 0.511128 0.999997 1.14983e-06 2.19146e-06 
0.007500 0.496264 0.511321 0.999997 1.14983e-06 2.19146e-06 
0.007619 0.496237 0.511405 0.999997 1.14983e-06 2.19146e-06 
0.007738 0.49615 0.511671 0.999997 1.14983e-06 2.19146e-06 
0.007857 0.496087 0.511863 0.999997 1.14983e-06 2.19146e-06 
0.007976 0.496059 0.511947 0.999997 1.14983e-06 2.19146e-06 
0.008095 0.495973 0.512213 0.999997 1.14983e-06 2.19146e-06 
0.008214 0.49591 0.512406 0.999997 1.14983e-06 2.19146e-06 
0.008333 0.495882 0.51249 0.999997 1.14983e-06 2.19146e-06 
0.008452 0.495795 0.512757 0.999997 1.14983e-06 2.19146e-06 
0.008571 0.495733 0.51295 0.999997 1.14983e-06 2.19146e-06 
0.008690 0.495705 0.513034 0.999997 1.14983e-06 2.19146e-06 
0.008810 0.495618 0.5133 0.999997 1.14983e-06 2.19146e-06 
0.008929 0.495556 0.513493 0.999997 1.14983e-06 2.19146e-06 
0.009048 0.495528 0.513577 0.999997 1.14983e-06 2.19146e-06 
0.009167 0.495441 0.513844 0.999997 1.14983e-06 2.19146e-06 
0.009286 0.495379 0.514037 0.999997 1.14983e-06 2.19146e-06 
0.009405 0.495351 0.514121 0.999997 1.14983e-06 2.19146e-06 
0.009524 0.495265 0.514388 0.999996 1.1248e-06 2.39207e-06 
0.009643 0.495202 0.514581 0.999996 1.1248e-06 2.39207e-06 
0.009762 0.495174 0.514666 0.999996 1.1248e-06 2.39207e-06 
0.009881 0.495088 0.514932 0.999996 1.1248e-06 2.39207e-06 
0.010000 0.495025 0.515126 0.999996 1.1248e-06 2.39207e-06 
0.010119 0.494998 0.51521 0.999996 1.1248e-06 2.39207e-06 
