t x1 x2 w1 w2 w3
0.000000 2 2 1.02901e-08 3.05267e-10 1 
0.001190 2.00088 2 1.02901e-08 3.05267e-10 1 
0.002381 2.00365 2 1.02901e-08 3.05267e-10 1 
0.003571 2.00566 2 1.02901e-08 3.05267e-10 1 
0.004762 2.00654 2 1.02901e-08 3.05267e-10 1 
0.005952 2.00931 2.00001 1.02901e-08 3.05267e-10 1 
0.007143 2.01131 2.00001 1.02901e-08 3.05267e-10 1 
0.008333 2.01219 2.00002 1.02901e-08 3.05267e-10 1 
0.009524 2.01495 2.00002 1.02901e-08 3.05267e-10 1 
0.010714 2.01696 2.00003 1.02901e-08 3.05267e-10 1 
0.011905 2.01783 2.00004 1.02901e-08 3.05267e-10 1 
0.013095 2.0206 2.00005 1.02901e-08 3.05267e-10 1 
0.014286 2.0226 2.00006 1.02901e-08 3.05267e-10 1 
0.015476 2.02347 2.00006 1.02901e-08 3.05267e-10 1 
0.016667 2.02623 2.00008 1.02901e-08 3.05267e-10 1 
0.017857 2.02823 2.00009 1.02901e-08 3.05267e-10 1 
0.019048 2.0291 2.00009 1.02901e-08 3.05267e-10 1 
0.020238 2.03186 2.00011 1.02901e-08 3.05267e-10 1 
0.021429 2.03385 2.00013 1.02901e-08 3.05267e-10 1 
0.022619 2.03472 2.00013 1.02901e-08 3.05267e-10 1 
0.023810 2.03748 2.00016 1.02901e-08 3.05267e-10 1 
0.025000 2.03947 2.00017 1.02901e-08 3.05267e-10 1 
0.026190 2.04034 2.00018 1.02901e-08 3.05267e-10 1 
0.027381 2.04309 2.00021 1.02901e-08 3.05267e-10 1 
0.028571 2.04508 2.00023 1.02901e-08 3.05267e-10 1 
0.029762 2.04595 2.00024 1.02901e-08 3.05267e-10 1 
0.030952 2.0487 2.00026 1.02901e-08 3.05267e-10 1 
0.032143 2.05068 2.00029 1.02901e-08 3.05267e-10 1 
0.033333 2.05155 2.0003 1.02901e-08 3.05267e-10 1 
0.034524 2.05429 2.00033 1.02901e-08 3.05267e-10 1 
0.035714 2.05628 2.00035 1.02901e-08 3.05267e-10 1 
0.036905 2.05715 2.00036 1.02901e-08 3.05267e-10 1 
0.038095 2.05989 2.0004 1.02901e-08 3.05267e-10 1 
0.039286 2.06187 2.00043 1.02901e-08 3.05267e-10 1 
0.040476 2.06274 2.00044 1.02901e-08 3.05267e-10 1 
0.041667 2.06547 2.00048 1.02901e-08 3.05267e-10 1 
0.042857 2.06745 2.00051 1.02901e-08 3.05267e-10 1 
0.044048 2.06832 2.00052 1.02901e-08 3.05267e-10 1 
0.045238 2.07105 2.00056 1.02901e-08 3.05267e-10 1 
0.046429 2.07303 2.00059 1.02901e-08 3.05267e-10 1 
0.047619 2.07389 2.00061 1.02901e-08 3.05267e-10 1 
0.048810 2.07662 2.00065 1.02901e-08 3.05267e-10 1 
0.050000 2.0786 2.00069 1.02901e-08 3.05267e-10 1 
0.051190 2.07946 2.0007 1.02901e-08 3.05267e-10 1 
0.052381 2.08218 2.00075 1.02901e-08 3.05267e-10 1 
0.053571 2.08416 2.00079 1.02901e-08 3.05267e-10 1 
0.054762 2.08502 2.00081 1.02901e-08 3.05267e-10 1 
0.055952 2.08774 2.00086 1.02901e-08 3.05267e-10 1 
0.057143 2.08971 2.0009 1.02901e-08 3.05267e-10 1 
0.058333 2.09057 2.00091 1.02901e-08 3.05267e-10 1 
0.059524 2.09329 2.00097 1.02901e-08 3.05267e-10 1 
0.060714 2.09526 2.00101 1.02901e-08 3.05267e-10 1 
0.061905 2.09612 2.00103 1.02901e-08 3.05267e-10 1 
0.063095 2.09884 2.00109 1.02901e-08 3.05267e-10 1 
0.064286 2.1008 2.00113 1.02901e-08 3.05267e-10 1 
0.065476 2.10166 2.00115 1.02901e-08 3.05267e-10 1 
0.066667 2.10437 2.00121 1.02901e-08 3.05267e-10 1 
0.067857 2.10634 2.00126 1.02901e-08 3.05267e-10 1 
0.069048 2.10719 2.00128 1.02901e-08 3.05267e-10 1 
0.070238 2.1099 2.00135 1.02901e-08 3.05267e-10 1 
0.071429 2.11187 2.00139 1.16011e-08 1.03689e-09 1 
0.072619 2.11272 2.00141 1.16011e-08 1.03689e-09 1 
0.073810 2.11543 2.00148 1.16011e-08 1.03689e-09 1 
0.075000 2.11739 2.00153 1.16011e-08 1.03689e-09 1 
0.076190 2.11824 2.00156 1.16011e-08 1.03689e-09 1 
0.077381 2.12094 2.00163 1.16011e-08 1.03689e-09 1 
0.078571 2.1229 2.00168 1.16011e-08 1.03689e-09 1 
0.079762 2.12375 2.00171 1.16011e-08 1.03689e-09 1 
0.080952 2.12645 2.00178 1.16011e-08 1.03689e-09 1 
0.082143 2.12841 2.00184 1.16011e-08 1.03689e-09 1 
0.083333 2.12926 2.00186 1.16011e-08 1.03689e-09 1 
0.084524 2.13196 2.00194 1.16011e-08 1.03689e-09 1 
0.085714 2.13391 2.002 1.16011e-08 1.03689e-09 1 
0.086905 2.13476 2.00202 1.16011e-08 1.03689e-09 1 
0.088095 2.13745 2.0021 1.16011e-08 1.03689e-09 1 
